qualifying_bills,last_qualifying_bill_date,last_city,total_spend_on_qualifying_bills,total_quantity_in_qualifying_bills,mobile
1,2026-03-11T16:46:02.102765+00:00,Mumbai,2374.74,3,9000155490
1,2026-03-27T22:38:11.287845+00:00,Chandigarh,6562.49,3,9000571569
1,2026-05-18T08:24:40.780777+00:00,Kolkata,2196.88,3,9000733272
1,2026-03-11T08:11:42.379632+00:00,Kolkata,542.03,3,9000301073
1,2025-12-17T11:29:05.857167+00:00,Surat,5121.13,2,9000324337
1,2026-05-18T22:38:39.236997+00:00,Mumbai,2674.0,3,9000571081
1,2026-01-17T11:37:29.399857+00:00,Jaipur,6667.28,2,9000771347
1,2026-04-10T00:30:22.807822+00:00,Ahmedabad,3650.84,3,9000262726
1,2026-03-15T06:24:16.844916+00:00,Lucknow,2055.07,3,9000670409
1,2026-01-30T09:45:20.511381+00:00,Chennai,439.9,3,9000732213
1,2026-05-03T15:15:48.653123+00:00,Gurugram,8285.29,2,9000170157
1,2026-03-06T21:31:31.451403+00:00,Pune,6144.5,3,9000179042
1,2026-02-20T21:05:15.965051+00:00,Ahmedabad,5828.57,2,9000048646
1,2026-03-26T20:22:24.711730+00:00,Indore,4195.73,2,9000412778
1,2026-01-15T22:31:50.106869+00:00,Pune,7511.02,2,9000152984
1,2026-02-19T11:28:54.545645+00:00,Pune,8915.51,3,9000414157
1,2026-05-04T00:39:22.167995+00:00,Ahmedabad,8686.94,3,9000048159
1,2026-04-14T07:43:39.292381+00:00,Surat,5503.7,3,9000200054
1,2026-04-19T12:38:12.693011+00:00,Bengaluru,1096.38,2,9000025946
1,2026-03-09T10:29:54.225193+00:00,Gurugram,7519.41,2,9000386397
1,2026-06-09T05:00:08.960097+00:00,Chennai,1508.2,2,9000091921
1,2026-04-25T08:12:59.346118+00:00,Mumbai,1853.08,2,9000717886
1,2026-01-10T16:58:02.079180+00:00,Surat,8848.66,3,9000340716
1,2026-05-23T09:11:38.994852+00:00,Jaipur,5117.95,3,9000436503
1,2026-03-06T12:52:11.214793+00:00,Ahmedabad,1846.94,3,9000485613
2,2026-06-10T13:53:17.161965+00:00,Surat,5581.55,5,9000508771
1,2026-05-17T11:38:04.154575+00:00,Gurugram,2287.8,2,9000719914
1,2026-03-08T11:53:09.547826+00:00,Noida,2550.36,3,9000629964
1,2026-04-19T23:24:18.699883+00:00,Chandigarh,3983.79,3,9000469913
1,2025-12-29T14:43:29.020256+00:00,Surat,5937.0,2,9000791672
1,2026-05-31T02:33:16.274232+00:00,Chandigarh,1001.43,3,9000170985
1,2026-01-10T17:11:51.537598+00:00,Surat,5099.92,3,9000189705
1,2026-04-27T17:42:39.456925+00:00,Surat,1493.49,2,9000741985
1,2026-03-09T06:52:37.318373+00:00,Hyderabad,6749.84,2,9000747715
1,2026-01-02T22:10:22.458964+00:00,Lucknow,4798.44,3,9000401582
1,2026-02-13T21:21:09.450784+00:00,Lucknow,5081.05,3,9000688854
1,2026-02-07T06:33:22.460779+00:00,Indore,7735.0,2,9000719302
1,2026-03-06T22:06:37.068111+00:00,Gurugram,6312.23,2,9000351844
1,2026-04-05T23:19:27.217630+00:00,Indore,7635.79,2,9000436394
1,2026-05-12T21:13:24.969185+00:00,Pune,7581.92,2,9000168787
1,2026-02-01T15:48:26.811235+00:00,Surat,1929.43,3,9000156866
1,2025-12-13T17:52:20.999374+00:00,Chennai,478.81,2,9000272268
1,2025-12-27T04:52:20.913081+00:00,Jaipur,7806.18,2,9000716834
1,2026-04-23T09:57:29.885916+00:00,Delhi,2524.02,2,9000733545
1,2026-05-14T00:10:15.519431+00:00,Chandigarh,3212.63,2,9000211272
1,2026-02-22T14:41:37.024381+00:00,Noida,1191.59,2,9000277548
2,2026-03-09T21:25:23.143877+00:00,Hyderabad,11616.93,6,9000404345
2,2026-06-09T18:30:03.538776+00:00,Pune,5931.789999999999,4,9000383294
1,2026-04-16T22:02:06.956907+00:00,Surat,5584.88,3,9000289022
1,2026-04-29T03:54:26.585522+00:00,Noida,6882.21,3,9000372559
1,2026-04-05T23:48:33.359663+00:00,Indore,7133.66,2,9000148755
1,2026-04-02T17:52:15.940017+00:00,Gurugram,8586.52,3,9000440943
1,2026-03-29T18:20:17.893888+00:00,Mumbai,5251.02,2,9000704799
1,2025-12-17T21:46:07.984349+00:00,Noida,2262.07,3,9000508992
1,2026-02-20T03:24:33.328531+00:00,Kolkata,1683.24,3,9000231824
1,2026-05-09T07:09:24.248146+00:00,Delhi,2769.07,3,9000290556
1,2026-05-19T21:00:10.670596+00:00,Chandigarh,1955.13,3,9000094601
1,2026-03-06T12:59:42.230028+00:00,Chandigarh,2433.87,2,9000743932
1,2026-01-01T21:10:27.149933+00:00,Chennai,7747.81,3,9000794405
1,2026-01-30T01:55:02.407647+00:00,Jaipur,8231.55,2,9000403673
1,2026-01-10T12:00:19.830481+00:00,Noida,8188.73,3,9000119312
1,2025-12-26T08:25:42.702934+00:00,Jaipur,7184.8,3,9000223332
1,2026-04-17T12:37:17.379007+00:00,Jaipur,8715.59,2,9000305465
1,2025-12-15T09:36:48.093456+00:00,Chandigarh,5702.0,3,9000098716
1,2026-04-26T18:09:50.685947+00:00,Mumbai,8193.75,2,9000302876
1,2026-06-09T01:43:17.083950+00:00,Ahmedabad,2131.01,2,9000400394
